"Species"
"Acacia auriculiformis"
"Adenanthera pavonina"
"Adinandra dumosa"
"Aidia densiflora"
"Alstonia angustifolia"
"Andira inermis"
"Aphanamixis polystachya"
"Aporosa benthamiana"
"Aporosa frutescens"
"Aporosa symplocoides"
"Aquilaria malaccensis"
"Ardisia elliptica"
"Arthrophyllum diversifolium"
"Artocarpus heterophyllus"
"Artocarpus integer"
"Averrhoa carambola"
"Baccaurea motleyana"
"Baccaurea sumatrana"
"Bhesa paniculata"
"Bridelia tomentosa"
"Campnosperma auriculatum"
"Cecropia pachystachya"
"Cinnamomum iners"
"Claoxylon indicum"
"Clausena excavata"
"Clerodendrum laevifolium"
"Cratoxylum formosum"
"Cyathocalyx ridleyi"
"Dillenia suffruticosa"
"Dimocarpus longan"
"Durio zibethinus"
"Elaeocarpus ferrugineus"
"Elaeocarpus mastersii"
"Elaeocarpus petiolatus"
"Fagraea fragrans"
"Falcataria moluccana"
"Ficus aurata"
"Ficus fistulosa"
"Ficus variegata"
"Garcinia forbesii"
"Gironniera nervosa"
"Glochidion borneense"
"Glochidion zeylanicum"
"Gnetum gnemon"
"Gynotroches axillaris"
"Hevea brasiliensis"
"Hopea mengarawan"
"Ixonanthes reticulata"
"Leea indica"
"Leucaena leucocephala"
"Licania splendens"
"Lindera lucida"
"Litsea elliptica"
"Litsea firma"
"Macaranga bancana"
"Macaranga conifera"
"Macaranga gigantea"
"Macaranga griffithiana"
"Macaranga heynei"
"Macaranga hypoleuca"
"Maclurodendron porteri"
"Maesa ramentacea"
"Mallotus paniculatus"
"Mangifera foetida"
"Mangifera indica"
"Mangifera odorata"
"Manihot carthagenesis"
"Melicope lunu-ankenda"
"Mimusops elengi"
"Morella esculenta"
"Muntingia calabura"
"Nephelium lappaceum"
"Ochanostachys amentacea"
"Pellacalyx axillaris"
"Peltophorum pterocarpum"
"Pipturus argenteus"
"Pithecellobium dulce"
"Prunus polystachya"
"Pterocarpus indicus"
"Sandoricum koetjape"
"Spathodea campanulata"
"Strombosia ceylanica"
"Swietenia macrophylla"
"Symplocos fasciculata"
"Syzygium borneense"
"Syzygium cumini"
"Syzygium filiforme"
"Syzygium grande"
"Syzygium lineatum"
"Syzygium polyanthum"
"Syzygium pycnanthum"
"Syzygium ridleyi"
"Syzygium zeylanicum"
"Tabebuia rosea"
"Terminalia catappa"
"Timonius wallichianus"
"Vitex pinnata"
"Xanthophyllum vitellinum"
