Species,Exotic,Status,GF,Family,Genus,AL2
Acacia auriculiformis,1,Naturalized,tree,Fabaceae,Acacia,1
Acacia mangium,1,Naturalized,tree,Fabaceae,Acacia,1
Acalypha siamensis,1,Casual,shrub,Euphorbiaceae,Acalypha,1
Adenanthera pavonina,1,Naturalized,tree,Fabaceae,Adenanthera,1
Adinandra dumosa,0,Common,tree,Pentaphylacaceae,Adinandra,1
Agrostistachys borneensis,0,Common,tree,Euphorbiaceae,Agrostistachys,1
Aidia densiflora,0,Vulnerable,tree,Rubiaceae,Aidia,0
Alstonia angustifolia,0,Common,tree,Apocynaceae,Alstonia,1
Alstonia angustiloba,0,Common,tree,Apocynaceae,Alstonia,1
Andira inermis,1,Casual,tree,Fabaceae,Andira,1
Anisophyllea disticha,0,Common,shrub,Anisophyllaceae,Anisophyllea,1
Antidesma bunius,1,Casual,tree,Phyllanthaceae,Antidesma,1
Antidesma cuspidatum,0,Common,tree,Phyllanthaceae,Antidesma,1
Antidesma velutinosum,0,Endangered,tree,Phyllanthaceae,Antidesma,1
Aphanamixis polystachya,0,Endangered,tree,Meliaceae,Aphanamixis,1
Aporosa benthamiana,0,Vulnerable,tree,Phyllanthaceae,Aporosa,1
Aporosa frutescens,0,Common,tree,Phyllanthaceae,Aporosa,1
Aporosa lucida,0,Crit. End.,tree,Phyllanthaceae,Aporosa,1
Aporosa nervosa,0,Vulnerable,tree,Phyllanthaceae,Aporosa,1
Aporosa symplocoides,0,Common,tree,Phyllanthaceae,Aporosa,0
Aquilaria malaccensis,0,Vulnerable,tree,Thymelaeaceae,Aquilaria,1
Archidendron clypearia,0,Common,tree,Fabaceae,Archidendron,1
Archidendron jiringa,0,Vulnerable,tree,Fabaceae,Archidendron,0
Ardisia elliptica,0,Endangered,tree,Primulaceae,Ardisia,1
Ardisia sanguinolenta,0,Common,shrub,Primulaceae,Ardisia,0
Arthrophyllum diversifolium,0,Common,tree,Araliaceae,Arthrophyllum,1
Artocarpus elasticus,0,Common,tree,Moraceae,Artocarpus,1
Artocarpus heterophyllus,1,Casual,tree,Moraceae,Artocarpus,1
Artocarpus integer,1,Casual,tree,Moraceae,Artocarpus,1
Averrhoa carambola,1,Casual,tree,Oxalidaceae,Averrhoa,1
Azadirachta indica,1,Casual,tree,Meliaceae,Azadirachta,1
Baccaurea motleyana,0,Crit. End.,tree,Phyllanthaceae,Baccaurea,1
Baccaurea parviflora,0,Common,tree,Phyllanthaceae,Baccaurea,1
Baccaurea polyneura,0,Endangered,tree,Phyllanthaceae,Baccaurea,1
Baccaurea sumatrana,0,Vulnerable,tree,Phyllanthaceae,Baccaurea,0
Baphia nitida,1,Casual,shrub,Fabaceae,Baphia,1
Beilschmiedia madang,0,Endangered,tree,Lauraceae,Beilschmiedia,1
Bhesa paniculata,0,Common,tree,Centroplacaceae,Bhesa,1
Bouea oppositifolia,0,Vulnerable,tree,Anacardiaceae,Bouea,0
Breynia coronata,0,Endangered,tree,Phyllanthaceae,Breynia,0
Breynia vitis-idaea,0,Common,shrub,Phyllanthaceae,Breynia,0
Bridelia stipularis,0,Vulnerable,shrub,Phyllanthaceae,Bridelia,1
Bridelia tomentosa,0,Common,tree,Phyllanthaceae,Bridelia,1
Brucea javanica,0,Vulnerable,shrub,Simaroubaceae,Brucea,0
Buchanania sessifolia,0,Vulnerable,tree,Anacardiaceae,Buchanania,1
Callicarpa longifolia,0,Endangered,shrub,Lamiaceae,Callicarpa,0
Calophyllum ferrugineum,0,Common,tree,Calophyllaceae,Calophyllum,1
Calophyllum inophyllum,0,Crit. End.,tree,Calophyllaceae,Calophyllum,1
Calophyllum lanigerum,0,Endangered,tree,Calophyllaceae,Calophyllum,0
Calophyllum macrocarpum,0,Crit. End.,tree,Calophyllaceae,Calophyllum,0
Calophyllum pulcherrimum,0,Common,tree,Calophyllaceae,Calophyllum,1
Calophyllum rubiginosum,0,Endangered,tree,Calophyllaceae,Calophyllum,1
Calophyllum soulattri,0,Crit. End.,tree,Calophyllaceae,Calophyllum,1
Calophyllum tetrapterum,0,Vulnerable,tree,Calophyllaceae,Calophyllum,1
Calophyllum teysmannii,0,Vulnerable,tree,Calophyllaceae,Calophyllum,1
Calophyllum wallichianum,0,Vulnerable,tree,Calophyllaceae,Calophyllum,0
Campnosperma auriculatum,0,Common,tree,Anacardiaceae,Campnosperma,1
Campnosperma squamatum,0,Common,tree,Anacardiaceae,Campnosperma,1
Canarium pilosum,0,Endangered,tree,Burseraceae,Canarium,1
Carallia brachiata,0,Endangered,tree,Rhizophoraceae,Carallia,1
Carmona retusa,1,Naturalized,shrub,Boraginaceae,Carmona,1
Castanopsis wallichii,0,Crit. End.,tree,Fagaceae,Castanopsis,1
Cecropia pachystachya,1,Naturalized,tree,Urticaceae,Cecropia,1
Cecropia peltata,1,Naturalized,tree,Urticaceae,Cecropia,0
Champereia manillana,0,Common,tree,Opiliaceae,Champereia,1
Chassalia chartacea,0,Vulnerable,shrub,Rubiaceae,Chassalia,0
Cinnamomum iners,0,Common,tree,Lauraceae,Cinnamomum,1
Claoxylon indicum,0,Common,tree,Euphorbiaceae,Claoxylon,1
Clausena excavata,0,Common,shrub,Rutaceae,Clausena,1
Clerodendrum laevifolium,0,Common,tree,Lamiaceae,Clerodendrum,1
Clerodendrum paniculatum,1,Casual,shrub,Lamiaceae,Clerodendrum,1
Clerodendrum villosum,0,Vulnerable,shrub,Lamiaceae,Clerodendrum,1
Clidemia hirta,1,Naturalized,shrub,Melastomataceae,Clidemia,1
Codiaeum variegatum,1,Casual,shrub,Euphorbiaceae,Codiaeum,1
Cratoxylum formosum,0,Endangered,tree,Hypericaceae,Cratoxylum,1
Cratoxylum maingayi,0,Crit. End.,tree,Hypericaceae,Cratoxylum,1
Croton caudatus,0,Common,tree,Euphorbiaceae,Croton,0
Cyathea latebrosa,0,Vulnerable,tree,Cyatheaceae,Cyathea,0
Cyathea squamulata,0,Endangered,tree,Cyatheaceae,Cyathea,0
Cyathocalyx ramuliflorus,0,Common,tree,Annonaceae,Cyathocalyx,1
Cyathocalyx ridleyi,0,Vulnerable,tree,Annonaceae,Cyathocalyx,0
Dehaasia incrassata,0,Crit. End.,tree,Lauraceae,Dehaasia,0
Dendrolobium umbellatum,0,Common,tree,Fabaceae,Dendrolobium,0
Dialium platysepalum,0,Crit. End.,tree,Fabaceae,Dialium,1
Dillenia suffruticosa,0,Common,shrub,Dilleniaceae,Dillenia,1
Dimocarpus longan,1,Casual,tree,Sapindaceae,Dimocarpus,1
Diospyros lanceifolia,0,Common,tree,Ebenaceae,Diospyros,1
Diplospora malaccensis,0,Crit. End.,tree,Rubiaceae,Diplospora,1
Durio zibethinus,1,Casual,tree,Malvaceae,Durio,1
Dysoxylum cauliflorum,0,Vulnerable,tree,Meliaceae,Dysoxylum,1
Elaeocarpus ferrugineus,0,Common,tree,Elaeocarpaceae,Elaeocarpus,1
Elaeocarpus mastersii,0,Common,tree,Elaeocarpaceae,Elaeocarpus,1
Elaeocarpus petiolatus,0,Common,tree,Elaeocarpaceae,Elaeocarpus,1
Elaeocarpus stipularis,0,Vulnerable,tree,Elaeocarpaceae,Elaeocarpus,1
Eurya acuminata,0,Common,shrub,Pentaphylacaceae,Eurya,1
Eurycoma longifolia,0,Crit. End.,tree,Simaroubaceae,Eurycoma,1
Fagraea fragrans,0,Common,tree,Gentianaceae,Fagraea,1
Falcataria moluccana,1,Naturalized,tree,Fabaceae,Falcataria,1
Ficus aurata,0,Vulnerable,tree,Moraceae,Ficus,1
Ficus chartacea,0,Vulnerable,shrub,Moraceae,Ficus,1
Ficus fistulosa,0,Common,tree,Moraceae,Ficus,1
Ficus grossularioides,0,Common,tree,Moraceae,Ficus,1
Ficus variegata,0,Common,tree,Moraceae,Ficus,1
Ficus vasculosa,0,Endangered,tree,Moraceae,Ficus,1
Garcinia eugeniifolia,0,Vulnerable,tree,Clusiaceae,Garcinia,0
Garcinia forbesii,0,Crit. End.,tree,Clusiaceae,Garcinia,1
Garcinia griffithii,0,Endangered,tree,Clusiaceae,Garcinia,1
Garcinia mangostana,1,Casual,tree,Clusiaceae,Garcinia,1
Garcinia parvifolia,0,Common,tree,Clusiaceae,Garcinia,1
Garcinia rostrata,0,Crit. End.,tree,Clusiaceae,Garcinia,0
Garcinia scortechinii,0,Crit. End.,tree,Clusiaceae,Garcinia,1
Gironniera nervosa,0,Common,tree,Cannabaceae,Gironniera,1
Gironniera parvifolia,0,Endangered,tree,Cannabaceae,Gironniera,0
Gironniera subaequalis,0,Endangered,tree,Cannabaceae,Gironniera,1
Glochidion borneense,0,Crit. End.,tree,Phyllanthaceae,Glochidion,1
Glochidion lutescens,0,Crit. End.,shrub,Phyllanthaceae,Glochidion,1
Glochidion zeylanicum,0,Vulnerable,tree,Phyllanthaceae,Glochidion,0
Gnetum gnemon,0,Crit. End.,tree,Gnetaceae,Gnetum,1
Gonystylus confusus,0,Endangered,tree,Thymelaeaceae,Gonystylus,1
Guioa pubescens,0,Vulnerable,tree,Sapindaceae,Guioa,1
Gymnacranthera farquhariana,0,Crit. End.,tree,Myristicaceae,Gymnacranthera,0
Gymnacranthera forbesii,0,Crit. End.,tree,Myristicaceae,Gymnacranthera,0
Gynotroches axillaris,0,Common,tree,Rhizophoraceae,Gynotroches,1
Hevea brasiliensis,1,Naturalized,tree,Euphorbiaceae,Hevea,1
Hopea mengarawan,0,Endangered,tree,Dipterocarpaceae,Hopea,0
Horsfieldia irya,0,Crit. End.,tree,Myristicaceae,Horsfieldia,1
Horsfieldia polyspherula,0,Vulnerable,tree,Myristicaceae,Horsfieldia,1
Ilex cymosa,0,Common,tree,Aquifoliaceae,Ilex,1
Indigofera hirsuta,1,Naturalized,shrub,Fabaceae,Indigofera,0
Ixonanthes icosandra,0,Vulnerable,tree,Ixonanthaceae,Ixonanthes,1
Ixonanthes reticulata,0,Common,tree,Ixonanthaceae,Ixonanthes,1
Ixora congesta,0,Common,shrub,Rubiaceae,Ixora,1
