Type,patch,plot,litter,canopy,nitrogen,phosphorous,potassium,size,dist,age,lat,long
ABA,AD,AD1,2,91.94,2730,17.4,59.1,38.15329498,3293.8,NA,159849.8,365160.2
ABA,AD,AD1,1.5,92.98,2730,17.4,59.1,38.15329498,3293.8,NA,159849.8,365160.2
ABA,AD,AD1,1,94.28,2730,17.4,59.1,38.15329498,3293.8,NA,159849.8,365160.2
ABA,AD,AD1,3,93.5,2730,17.4,59.1,38.15329498,3293.8,NA,159849.8,365160.2
ABA,AD,AD1,3,94.54,2730,17.4,59.1,38.15329498,3293.8,NA,159849.8,365160.2
ABA,AD,AD2,1,88.56,1750,9.32,54.7,38.15329498,3174,NA,159730,365235
ABA,AD,AD2,0,92.72,1750,9.32,54.7,38.15329498,3174,NA,159730,365235
ABA,AD,AD2,0.5,88.56,1750,9.32,54.7,38.15329498,3174,NA,159730,365235
ABA,AD,AD2,2,87.52,1750,9.32,54.7,38.15329498,3174,NA,159730,365235
ABA,AD,AD2,0.5,91.68,1750,9.32,54.7,38.15329498,3174,NA,159730,365235
ABA,AD,AD3,2,93.76,2590,12.4,82.5,38.15329498,3262.353046,NA,159818.2,365326.6
ABA,AD,AD3,1.5,83.36,2590,12.4,82.5,38.15329498,3262.353046,NA,159818.2,365326.6
ABA,AD,AD3,1,92.72,2590,12.4,82.5,38.15329498,3262.353046,NA,159818.2,365326.6
ABA,AD,AD3,1,94.8,2590,12.4,82.5,38.15329498,3262.353046,NA,159818.2,365326.6
ABA,AD,AD3,3,93.76,2590,12.4,82.5,38.15329498,3262.353046,NA,159818.2,365326.6
ABA,AD,AD4,2,92.72,2310,6.16,76.6,38.15329498,3315.599999,NA,159871.6,365293.4
ABA,AD,AD4,6.5,93.76,2310,6.16,76.6,38.15329498,3315.599999,NA,159871.6,365293.4
ABA,AD,AD4,1,93.76,2310,6.16,76.6,38.15329498,3315.599999,NA,159871.6,365293.4
ABA,AD,AD4,2.5,93.76,2310,6.16,76.6,38.15329498,3315.599999,NA,159871.6,365293.4
ABA,AD,AD4,2.5,94.8,2310,6.16,76.6,38.15329498,3315.599999,NA,159871.6,365293.4
ABA,AD,AD5,0.5,89.86,2520,6.51,53.9,38.15329498,3358,NA,159914,365190.8
ABA,AD,AD5,1,94.28,2520,6.51,53.9,38.15329498,3358,NA,159914,365190.8
ABA,AD,AD5,2,90.38,2520,6.51,53.9,38.15329498,3358,NA,159914,365190.8
ABA,AD,AD5,2.5,88.56,2520,6.51,53.9,38.15329498,3358,NA,159914,365190.8
ABA,AD,AD5,1,85.7,2520,6.51,53.9,38.15329498,3358,NA,159914,365190.8
WAS,AW,AW1,4.5,72.92,2660,23.6,71.2,21.44964003,3671.503457,48,160227,365054.2
WAS,AW,AW1,4,65.63,2660,23.6,71.2,21.44964003,3671.503457,48,160227,365054.2
WAS,AW,AW1,3.5,72.92,2660,23.6,71.2,21.44964003,3671.503457,48,160227,365054.2
WAS,AW,AW1,2,73.96,2660,23.6,71.2,21.44964003,3671.503457,48,160227,365054.2
WAS,AW,AW1,2.5,71.88,2660,23.6,71.2,21.44964003,3671.503457,48,160227,365054.2
WAS,AW,AW2,0.2,81.51,3360,7.32,89.3,21.44964003,3809.199999,48,160365.2,365244.8
WAS,AW,AW2,0.5,80.73,3360,7.32,89.3,21.44964003,3809.199999,48,160365.2,365244.8
WAS,AW,AW2,0.5,85.42,3360,7.32,89.3,21.44964003,3809.199999,48,160365.2,365244.8
WAS,AW,AW2,1,89.32,3360,7.32,89.3,21.44964003,3809.199999,48,160365.2,365244.8
WAS,AW,AW2,0.5,86.98,3360,7.32,89.3,21.44964003,3809.199999,48,160365.2,365244.8
WAS,AW,AW3,2.5,65.63,2730,4.43,58.2,21.44964003,3605.015001,48,160161,365104.6
WAS,AW,AW3,3,78.65,2730,4.43,58.2,21.44964003,3605.015001,48,160161,365104.6
WAS,AW,AW3,2,78.65,2730,4.43,58.2,21.44964003,3605.015001,48,160161,365104.6
WAS,AW,AW3,3.5,72.4,2730,4.43,58.2,21.44964003,3605.015001,48,160161,365104.6
WAS,AW,AW3,2,68.75,2730,4.43,58.2,21.44964003,3605.015001,48,160161,365104.6
WAS,AW,AW4,2.5,80.73,2590,4.99,56,21.44964003,3816.27174,48,160372.2,365091.6
WAS,AW,AW4,3.5,38.02,2590,4.99,56,21.44964003,3816.27174,48,160372.2,365091.6
WAS,AW,AW4,3,49.48,2590,4.99,56,21.44964003,3816.27174,48,160372.2,365091.6
WAS,AW,AW4,4,78.65,2590,4.99,56,21.44964003,3816.27174,48,160372.2,365091.6
WAS,AW,AW4,5,78.65,2590,4.99,56,21.44964003,3816.27174,48,160372.2,365091.6
WAS,AW,AW5,3,88.28,3010,3.65,58.4,21.44964003,3796.208303,48,160349.8,364979.8
WAS,AW,AW5,4,82.29,3010,3.65,58.4,21.44964003,3796.208303,48,160349.8,364979.8
WAS,AW,AW5,6,86.2,3010,3.65,58.4,21.44964003,3796.208303,48,160349.8,364979.8
WAS,AW,AW5,5,85.16,3010,3.65,58.4,21.44964003,3796.208303,48,160349.8,364979.8
WAS,AW,AW5,4.5,88.54,3010,3.65,58.4,21.44964003,3796.208303,48,160349.8,364979.8
WAS,BBE,BBE1,6,11.72,1400,8.87,34.6,9.661922398,1170.180789,48,148668.8,362386.8
WAS,BBE,BBE1,4.5,18.75,1400,8.87,34.6,9.661922398,1170.180789,48,148668.8,362386.8
WAS,BBE,BBE1,1.5,11.2,1400,8.87,34.6,9.661922398,1170.180789,48,148668.8,362386.8
WAS,BBE,BBE1,6,16.67,1400,8.87,34.6,9.661922398,1170.180789,48,148668.8,362386.8
WAS,BBE,BBE1,7.5,13.02,1400,8.87,34.6,9.661922398,1170.180789,48,148668.8,362386.8
WAS,BBE,BBE2,13.3,24.48,3780,12.4,139,9.661922398,1203.705645,48,148431.8,362549.2
WAS,BBE,BBE2,8.3,4.69,3780,12.4,139,9.661922398,1203.705645,48,148431.8,362549.2
WAS,BBE,BBE2,12,4.43,3780,12.4,139,9.661922398,1203.705645,48,148431.8,362549.2
WAS,BBE,BBE2,9.7,2.08,3780,12.4,139,9.661922398,1203.705645,48,148431.8,362549.2
WAS,BBE,BBE2,11,3.39,3780,12.4,139,9.661922398,1203.705645,48,148431.8,362549.2
WAS,BBE,BBE3,4.5,90.36,1470,9.68,68.6,9.661922398,1400.49574,48,148209.6,362509.4
WAS,BBE,BBE3,3,86.98,1470,9.68,68.6,9.661922398,1400.49574,48,148209.6,362509.4
WAS,BBE,BBE3,18,50.26,1470,9.68,68.6,9.661922398,1400.49574,48,148209.6,362509.4
WAS,BBE,BBE3,2,88.02,1470,9.68,68.6,9.661922398,1400.49574,48,148209.6,362509.4
WAS,BBE,BBE3,2,92.71,1470,9.68,68.6,9.661922398,1400.49574,48,148209.6,362509.4
WAS,BBE,BBE4,5.5,82.3,1400,2.4,46.4,9.661922398,1148.040504,48,148526.2,362531.4
WAS,BBE,BBE4,1.5,84.9,1400,2.4,46.4,9.661922398,1148.040504,48,148526.2,362531.4
WAS,BBE,BBE4,5,94.8,1400,2.4,46.4,9.661922398,1148.040504,48,148526.2,362531.4
WAS,BBE,BBE4,1,94.8,1400,2.4,46.4,9.661922398,1148.040504,48,148526.2,362531.4
WAS,BBE,BBE4,2.5,93.2,1400,2.4,46.4,9.661922398,1148.040504,48,148526.2,362531.4
WAS,BBE,BBE5,4.3,78.13,1610,4.62,32,9.661922398,1432.267293,48,148249.2,362410.6
WAS,BBE,BBE5,2.8,66.93,1610,4.62,32,9.661922398,1432.267293,48,148249.2,362410.6
WAS,BBE,BBE5,5.8,67.19,1610,4.62,32,9.661922398,1432.267293,48,148249.2,362410.6
WAS,BBE,BBE5,5.8,63.02,1610,4.62,32,9.661922398,1432.267293,48,148249.2,362410.6
WAS,BBE,BBE5,5.5,46.88,1610,4.62,32,9.661922398,1432.267293,48,148249.2,362410.6
ABA,BBH,BBH1,5,78.16,910,3.12,26.4,32.87032251,2979.882856,NA,150303.8,360362
ABA,BBH,BBH1,9,68.8,910,3.12,26.4,32.87032251,2979.882856,NA,150303.8,360362
ABA,BBH,BBH1,6,83.36,910,3.12,26.4,32.87032251,2979.882856,NA,150303.8,360362
ABA,BBH,BBH1,12,84.36,910,3.12,26.4,32.87032251,2979.882856,NA,150303.8,360362
ABA,BBH,BBH1,5,65.68,910,3.12,26.4,32.87032251,2979.882856,NA,150303.8,360362
ABA,BBH,BBH2,4,96.88,840,3.48,26.3,32.87032251,2983.434705,NA,150207,360339.2
ABA,BBH,BBH2,8,93.76,840,3.48,26.3,32.87032251,2983.434705,NA,150207,360339.2
ABA,BBH,BBH2,4.5,91.68,840,3.48,26.3,32.87032251,2983.434705,NA,150207,360339.2
ABA,BBH,BBH2,6,97.92,840,3.48,26.3,32.87032251,2983.434705,NA,150207,360339.2
ABA,BBH,BBH2,4.5,95.84,840,3.48,26.3,32.87032251,2983.434705,NA,150207,360339.2
ABA,BBH,BBH3,5,84.4,1190,6.64,47.1,32.87032251,2835.94971,NA,150273,360502.6
ABA,BBH,BBH3,6.5,74,1190,6.64,47.1,32.87032251,2835.94971,NA,150273,360502.6
ABA,BBH,BBH3,4,83.36,1190,6.64,47.1,32.87032251,2835.94971,NA,150273,360502.6
ABA,BBH,BBH3,3.5,94.8,1190,6.64,47.1,32.87032251,2835.94971,NA,150273,360502.6
ABA,BBH,BBH3,4,91.68,1190,6.64,47.1,32.87032251,2835.94971,NA,150273,360502.6
ABA,BBH,BBH4,10,96.88,1190,3.12,38.8,32.87032251,3245.138918,NA,150437.2,360120.4
ABA,BBH,BBH4,4.5,91.68,1190,3.12,38.8,32.87032251,3245.138918,NA,150437.2,360120.4
ABA,BBH,BBH4,5,92.72,1190,3.12,38.8,32.87032251,3245.138918,NA,150437.2,360120.4
ABA,BBH,BBH4,6,93.76,1190,3.12,38.8,32.87032251,3245.138918,NA,150437.2,360120.4
ABA,BBH,BBH4,9,94.8,1190,3.12,38.8,32.87032251,3245.138918,NA,150437.2,360120.4
ABA,BBH,BBH5,5,77.12,1680,8,56,32.87032251,2792.33715,NA,149958.6,360497
ABA,BBH,BBH5,4,84.4,1680,8,56,32.87032251,2792.33715,NA,149958.6,360497
ABA,BBH,BBH5,2.5,85.44,1680,8,56,32.87032251,2792.33715,NA,149958.6,360497
ABA,BBH,BBH5,1,84.4,1680,8,56,32.87032251,2792.33715,NA,149958.6,360497
ABA,BBH,BBH5,3,87.52,1680,8,56,32.87032251,2792.33715,NA,149958.6,360497
ABA,BBN,BBN1,3.5,87.52,1540,7.77,53.8,28.09447274,972.486565,NA,149292.4,362340.4
ABA,BBN,BBN1,4,83.36,1540,7.77,53.8,28.09447274,972.486565,NA,149292.4,362340.4
ABA,BBN,BBN1,3,87.52,1540,7.77,53.8,28.09447274,972.486565,NA,149292.4,362340.4
