"X","SLA","Th","LDMC","WD","SM","Genus","Hmax","logSLA","logSM"
"Acacia auriculiformis",11.5878596389039,0.269104166833333,365.170933090559,0.603,17.5327083333333,"Acacia",1500,2.44995796720895,2.86406818405238
"Acacia mangium",10.32667698,0.278444444,353.3723884,0.44772,19,"Acacia",3500,2.33473054502896,2.94443897916644
"Acalypha siamensis",17.91914627,0.243666667,306.2281239,0.564801663,33.33333333,"Acalypha",250,2.88586976522887,3.50655789721998
"Adenanthera pavonina",25.3842434,0.152625,311.1443521,0.7,283.2,"Adenanthera",3000,3.23412864295223,5.64615336181956
"Adinandra dumosa",9.06433865775158,0.315222222166667,394.643287993519,0.565,1.1,"Adinandra",2000,2.20434788597472,0.0953101798043249
"Agrostistachys borneensis",10.2592078408617,0.261777777777778,408.415856624442,0.7025,39.26666675,"Agrostistachys",900,2.32817562826888,3.67037598467162
"Aidia densiflora",10.6429342,NA,NA,0.68,NA,"Aidia",1800,2.36489621657245,NA
"Alstonia angustifolia",13.756716864656,0.21925,337.861284151886,0.661666666666666,1.503125,"Alstonia",5000,2.62152720408337,0.407546274311989
"Alstonia angustiloba",21.8182023805555,0.248111111055555,274.892260422222,0.374166666666667,2.225,"Alstonia",4500,3.08274459298531,0.799756915618204
"Andira inermis",15.49233317,0.206916667,358.3855825,0.63,792,"Andira",3657.6,2.74034526735981,6.67456139181443
"Anisophyllea disticha",23.5567891034577,0.182111111111111,329.721423859055,0.695,247.8,"Anisophyllea",700,3.15941406356428,5.51262196919504
"Antidesma bunius",8.992953529,0.453333333,275.3019347,0.51,20.43,"Antidesma",1500,2.19644132945544,3.01700440882953
"Antidesma cuspidatum",15.2722059927656,0.192666666666667,343.784029108229,0.8,17,"Antidesma",1700,2.72603457459634,2.83321334405622
"Antidesma velutinosum",20.16183075,0.193111111,415.1795661,0.487855071,21.6,"Antidesma",1500,3.003791250092,3.07269331469012
"Aphanamixis polystachya",14.48583654,0.235888889,312.5872539,0.535542,169,"Aphanamixis",3500,2.67317138171113,5.12989871492307
"Aporosa benthamiana",12.5923883877778,0.260777777888889,347.743531788889,0.477116144921928,45.4220237916667,"Aporosa",1200,2.53309253520969,3.81599709296497
"Aporosa frutescens",17.299401242579,0.188,286.407031300011,0.505161013808065,42.63571425,"Aporosa",2700,2.85067189064923,3.75269226472168
"Aporosa lucida",12.5787262453335,0.275333333166667,324.409625200086,0.348150352568242,27.6666666666667,"Aporosa",1800,2.5320069937877,3.32022831912849
"Aporosa lunata",11.4908984405204,0.373833333333333,358.373293351895,0.62,56.75,"Aporosa",2700,2.44155528206051,4.03865565636151
"Aporosa nervosa",14.2963882693792,0.255454545227273,353.690684466955,0.546050117568242,65,"Aporosa",3000,2.66000693679016,4.17438726989564
"Aporosa symplocoides",NA,NA,NA,0.64,47.4948809416667,"Aporosa",1200,NA,3.86062193558391
"Aquilaria malaccensis",16.2214549694287,0.220092307692308,397.062306698408,0.32,22.5333333333333,"Aquilaria",4000,2.78633474684853,3.11499569438081
"Archidendron clypearia",15.6854495727904,0.184607142928571,384.100740890039,0.331666666666666,66,"Archidendron",1500,2.7527335038261,4.18965474202643
"Archidendron jiringa",NA,NA,NA,0.316848,11673.66667,"Archidendron",2400,NA,9.36509087216095
"Archidendron microcarpum",14.4121697002521,0.1355,461.021774448325,0.623827332969465,160,"Archidendron",1800,2.66807296774381,5.07517381523383
"Ardisia elliptica",7.894127748,0.404333333,328.9759969,0.348045547,37,"Ardisia",750,2.06611916003345,3.61091791264422
"Ardisia sanguinolenta",NA,NA,NA,0.454588017467147,23,"Ardisia",800,NA,3.13549421592915
"Ardisia teysmanniana",14.3481124130715,0.264833333333333,356.789729669169,0.561130487934295,30,"Ardisia",1800,2.66361839439482,3.40119738166216
"Arthrophyllum diversifolium",14.0450389637663,0.259742424333333,308.030422928369,0.3625,42.125,"Arthrophyllum",1400,2.64226923476142,3.74064138867253
"Artocarpus elasticus",8.26284710201464,0.442333333166667,309.814060982694,0.35,150,"Artocarpus",4500,2.11176921361642,5.01063529409626
"Artocarpus heterophyllus",9.401284397,0.324666667,372.9492929,0.55104,10062,"Artocarpus",1800,2.24084631792056,9.21652123105126
"Artocarpus integer",11.7426267186852,0.337222222111111,348.585659401626,0.55104,175,"Artocarpus",2400,2.46322553031791,5.16478597392351
"Artocarpus kemando",8.49242836172498,0.2926,429.256777369392,0.4475,175,"Artocarpus",4000,2.1391749855416,5.16478597392351
